NBN Atlas record ID,Occurrence ID,Licence,rightsHolder,Scientific name,Taxon author,Name qualifier,Common name,Species ID (TVK),Taxon Rank,Occurrence status,Event Date,Day,Month,Year,End date,Locality,Grid reference,Latitude (WGS84),Longitude (WGS84),Coordinate Uncertainty (m),verbatimDepth,Recorder,Determiner,Individual count,Abundance,Abundance scale,Organism scope,Organism remarks,Sex,Life stage,Occurrence remarks,Identification verification status,Basis of Record,Survey key,Dataset name,Dataset ID,Data provider,Data provider ID,Institution code,Kingdom,Phylum,Class,Order,Family,Genus,OSGR 100km,OSGR 10km,OSGR 2km,OSGR 1km,Country,State/Province,Vitality,Public resolution (m)
002f8bab-7c1c-460c-b89e-94b8b70811ce,T-MRMCS00700008C26,CC-BY,Seasearch,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,9/30/2009,30,9,2009,,"""Lybster Harbour, South Side""",ND244347,58.29524,-3.289829,70.7,-2.8 to 4 m,Fiona Watson,,,P,,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,MRMCS0070000009F,Seasearch Marine Surveys in Scotland,dr749,Seasearch,dp119,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,ND,ND23,ND23M,ND2434,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
003397ed-0ecf-44d0-8fbe-b3a39056cba0,T-MRMCS0200000777A,CC-BY,Seasearch,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,2/10/2018,10,2,2018,,"""Argyll caravan park, 4km S of Inverary, Loch Fyne""",NN076052,56.20069,-5.101842,70.7,-14.3 to -0.2 m,Rob Spray,,,O,SACFORN,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,MRMCS0200000004C,Seasearch Marine Surveys in Scotland,dr749,Seasearch,dp119,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NN,NN00,NN00S,NN0705,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
004beae8-afbf-499e-b681-6da1ab6e2521,T-MRSNH0010000143A,OGL,NatureScot,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,8/9/1995,9,8,1995,,South East of Loggie - Site 14,NH166898,57.86002,-5.092862,70.7,Unknown,Colin Adams,,,R,SACFORN,,,,,,Accepted,HUMAN_OBSERVATION,MRSNH00100000012,"Species data for Scottish waters held and managed by Scottish Natural Heritage, derived from benthic surveys 1993 to 2018",dr747,NatureScot,dp9,NatureScot,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NH,NH18,NH18U,NH1689,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
00547efb-de5f-4a17-b723-394b0302649e,18577270,OGL,Joint Nature Conservation Committee,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,8/17/1985,17,8,1985,,Rubha na Cille (south) (Loch Sween),NR682790,55.948425,-5.713354,70.7,Unknown,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,JNCCMNCR10000099,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC,dr883,Joint Nature Conservation Committee,dp87,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NR,NR67,NR67Z,NR6879,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00716452-34fb-489f-a6fc-6e1ad67d8b69,18477113,OGL,Joint Nature Conservation Committee,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,6/23/1989,23,6,1989,,"Rocks W of Port Ramsay, Lismore (Lower Loch Linnhe",NM875458,56.556419,-5.458553,70.7,1 to 2 m,David Connor,,,O,,,,,,,Accepted,HUMAN_OBSERVATION,JNCCMNCR10000006,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC,dr883,Joint Nature Conservation Committee,dp87,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NM,NM84,NM84S,NM8745,United Kingdom of Great Britain and Northern Ireland,Scotland,,
0072d849-439c-46a9-8132-d584f3fe5e49,18388692,OGL,Joint Nature Conservation Committee,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,9/8/1984,8,9,1984,,S of Sr n Bheith (Loch Sween),NR750863,56.017114,-5.610792,70.7,-19 to -14 m,Keith Hiscock,,,R,,,,,,,Accepted,HUMAN_OBSERVATION,JNCCMNCR10000046,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC,dr883,Joint Nature Conservation Committee,dp87,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NR,NR78,NR78N,NR7586,United Kingdom of Great Britain and Northern Ireland,Scotland,,
007541a2-98ee-44e3-bfca-37213eb80d5e,T-MRMCS02000003CBE,CC-BY,Seasearch,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,4/18/2017,18,4,2017,,"""'Some Underwater Rock, Glenmore Bay, Loch Sunart""",NM593608,56.6771,-5.930167,70.7,-33.5 to -9.6 m,Rob Spray,,,R,SACFORN,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,MRMCS0200000002F,Seasearch Marine Surveys in Scotland,dr749,Seasearch,dp119,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NM,NM56,NM56V,NM5960,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
0090a8eb-0e9b-4c30-9ce5-7b882c0c53c6,T-MRSNH01200001B3F,OGL,NatureScot,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,8/10/2003,10,8,2003,,Vadills Mid Basin transect TV03LT6,HU28865549,60.282616,-1.479866,7.1,Unknown,Environment & Resource Technology Ltd,,,C,SACFORN,,,,,,Accepted,HUMAN_OBSERVATION,MRSNH01200000008,"Species data for Scottish waters held and managed by Scottish Natural Heritage, derived from benthic surveys 1993 to 2018",dr747,NatureScot,dp9,NatureScot,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,HU,HU25,HU25X,HU2855,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
00cb2148-af3e-4c15-9a8c-d202219d1b4e,18852263,OGL,Joint Nature Conservation Committee,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,7/24/1997,24,7,1997,,"W Hacks Ness, Bay of Stove (South Sanday)",HY615344,59.194974,-2.674795,70.7,Unknown,Eleanor Murray,,,O,,,,,,,Accepted,HUMAN_OBSERVATION,JNCCMNCR10000680,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC,dr883,Joint Nature Conservation Committee,dp87,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,HY,HY63,HY63C,HY6134,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00d3c35c-b80c-4ba9-9bf9-babf625e0c44,T-JNCCMNCR60114402,CC-BY,Seasearch,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,8/20/1980,20,8,1980,,"""Eilean Heast (Loch Eishort, Skye)""",NG650156,57.17133,-5.88825,70.7,-6 to 2 m,Alan Brittain,,,C,SACFORN,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,JNCCMNCR60000051,Seasearch Marine Surveys in Scotland,dr749,Seasearch,dp119,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NG,NG61,NG61M,NG6515,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
00d5cd4c-1057-42bd-af7d-3fd1306df3be,18599631,OGL,Joint Nature Conservation Committee,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,8/11/1987,11,8,1987,,"Head of West Voe, Papa Stour. (Papa Stour)",HU175609,60.332236,-1.683991,70.7,Unknown,,,,,,,,,,,Accepted,HUMAN_OBSERVATION,JNCCMNCR10000261,Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC,dr883,Joint Nature Conservation Committee,dp87,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,HU,HU16,HU16Q,HU1760,United Kingdom of Great Britain and Northern Ireland,Scotland,,
00e4f12d-9e9f-468d-abd9-e5b1bc0d4dc3,T-JNCCMNCR60123810,CC-BY,Seasearch,Carcinus maenas,"(Linnaeus, 1758)",,Green Shore Crab,NBNSYS0000174367,species,PRESENT,7/19/1984,19,7,1984,,"""Unasary Islands (Loch Eynort, South Uist)""",NF774280,57.229102,-7.347224,70.7,-5.5  m,Teresa Bennett,,,F,SACFORN,,,,,,Accepted - considered correct,HUMAN_OBSERVATION,JNCCMNCR60000064,Seasearch Marine Surveys in Scotland,dr749,Seasearch,dp119,,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,Carcinus,NF,NF72,NF72U,NF7728,United Kingdom of Great Britain and Northern Ireland,Scotland,alive,
