OBJECTID,NC_MPA,SAC,SAC_PF,NC_MPA_PF,NC_MPA_PPF,NC_MPA_SF,ANNEX_I,ANNEX_I_SUB_TYPE,ANNEX_I_PHYSIOGRAPHIC,PMF,PMF_COMPONENT,NC_MPA_RF,NC_MPA_RF_COMPONENT,EUNIS_CODE,CURRENT_BIOTOPE_CODE,CURRENT_BIOTOPE_NAME,ORIG_CLASSIFICATION,ORIG_BIOTOPE_CODE,DATE_,DATE_RANGE,YEAR,STATUS,ACCURACY,DETERMINATION,DETERMINER,SURVEY_NAME,EVENT_NAME,LOCATION_NAME,LATITUDE,LONGITUDE,COPYRIGHT,CONSENT,LINEAGE,SOURCE,SURVEYKEY,SAMPLE_REFERENCE,BIOTOPEOCCURRENCEKEY,GEMS_ID,SE_ANNO_CAD_DATA,x,y
1118732,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Does not qualify (geography),Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,6/25/1988 12:00:00 AM,,1988,,OSMapUnk,Certain match; whole record,JH Allen,1988 MNCR Skye sealochs survey,"Ard Dorch (Loch na Cairidh, Skye)","Ard Dorch (Loch na Cairidh, Skye)",57.28653238,-6.0124838,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000002,002.085.002,JNCCMNCR10100296,44661,System.Byte[],158300.010946983,828900.001680234
1118783,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,5/28/1988 12:00:00 AM,,1988,,OSMapUnk,Uncertain match; part record,JH Allen,1988 MNCR Shetland littoral and sublittoral survey,Head of Vadills and Marlee Loch (Shetland),Head of Vadills and Marlee Loch (Shetland),60.27458774,-1.47937388,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000001,001.208.002,JNCCMNCR10100437,44723,System.Byte[],428900.011446547,1154600.00280539
1119386,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,6/27/1982 12:00:00 AM,,1982,,OSMapUnk,Certain match; whole record,JH Allen,1982 OPRU Jura and Islay sublittoral survey,"Loch Indaal, north. (Islay)","Loch Indaal, north. (Islay)",55.77604061,-6.32314145,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000011,011.015.001,JNCCMNCR10102298,45693,System.Byte[],129000.013124928,662100.002065851
1119389,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,6/30/1982 12:00:00 AM,,1982,,OSMapUnk,Certain match; whole record,JH Allen,1982 OPRU Jura and Islay sublittoral survey,"Ceann A Chlachain, Loch Indaal. (Islay)","Ceann A Chlachain, Loch Indaal. (Islay)",55.74787467,-6.33118251,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000011,011.014.002,JNCCMNCR10102302,45696,System.Byte[],128300.012525977,659000.002395049
1119393,,,,,,Seagrass beds,Mudflats and sandflats not covered by seawater at low tide,Sediment flat feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on lower shore clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (intertidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,6/27/1982 12:00:00 AM,,1982,,OSMapUnk,Certain match; whole record,JH Allen,1982 OPRU Jura and Islay sublittoral survey,"Loch Indaal, south of Bruichladdich. (Islay)","Loch Indaal, south of Bruichladdich. (Islay)",55.7573864,-6.36732947,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000011,011.018.001,JNCCMNCR10102306,45700,System.Byte[],126100.012231731,660200.001500069
1119397,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,6/27/1982 12:00:00 AM,,1982,,OSMapUnk,Certain match; whole record,JH Allen,1982 OPRU Jura and Islay sublittoral survey,"Port Charlotte Lighthouse, Rubh an Duin. (Islay)","Port Charlotte Lighthouse, Rubh an Duin. (Islay)",55.74568343,-6.36761406,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000011,011.019.004,JNCCMNCR10102310,45704,System.Byte[],126000.012741098,658900.001442072
1119466,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,9/2/1984 12:00:00 AM,,1984,,OSMapUnk,Certain match; whole record,JH Allen,1984 NCC/OPRU Loch Sween sublittoral survey,"W spit, Linne Mhuirich rapids (Loch Sween)","W spit, Linne Mhuirich rapids (Loch Sween)",55.98341111,-5.65861732,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000046,046.019.007,JNCCMNCR10102469,45803,System.Byte[],171870.011230525,682760.002399502
1119585,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,6/19/1989 12:00:00 AM,,1989,,ChartUnk,Certain match; whole record,JH Allen,1988-89 MNCR Loch Linnhe survey,E of Ardnaclach (Loch Creran),E of Ardnaclach (Loch Creran),56.53983046,-5.32781843,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000006,006.074.001,JNCCMNCR10102630,45485,System.Byte[],195490.181848056,743609.026914946
1119885,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,5/2/1990 12:00:00 AM,,1990,,ChartUnk,Certain match; part record,JH Allen,1990 UMBSM North & South Uist and Benbecula sealochs survey,"Middle of Calvay Sound (Loch Boisdale, South Uist)","Middle of Calvay Sound (Loch Boisdale, South Uist)",57.14129145,-7.26315165,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000029,029.012.002,JNCCMNCR10103492,46225,System.Byte[],81760.0128580554,817900.001037152
1120262,,Sound of Arisaig (Loch Ailort to Loch Ceann Traigh),Sandbanks which are slightly covered by sea water all the time,,,Seagrass beds,Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,5/1/1989 12:00:00 AM,,1989,,OSMapUnk,Certain match; whole record,JH Allen,1989 UMBSM Arisaig and Moidart sealochs survey,SW of Glasnascardoch (Loch Ailort),SW of Glasnascardoch (Loch Ailort),56.85705534,-5.77099809,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000027,027.009.002,JNCCMNCR10104251,46573,System.Byte[],170200.011350442,780300.002264018
1120361,,,,,,Seagrass beds,Possible Sandbanks which are slightly covered by sea water all the time,Sandbank feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on infralittoral clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (subtidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,9/24/1988 12:00:00 AM,,1988,,OSMapUnk,Certain match; whole record,JH Allen,1988 UMBSM Loch Ryan survey,Near McMeckan's Rocks (Loch Ryan),Near McMeckan's Rocks (Loch Ryan),55.0096755,-5.08543368,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000023,023.008.002,JNCCMNCR10103722,46341,System.Byte[],202800.012313063,572700.002923967
1120399,,,,,,Seagrass beds,Mudflats and sandflats not covered by seawater at low tide,Sediment flat feature (Seagrass beds),Large shallow inlets and bays,Seagrass beds,Zostera marina/angustifolia beds on lower shore clean or muddy sand,,,A5.5331,SS.SMp.SSgr.Zmar (intertidal),Zostera marina/angustifolia beds on lower shore or infralittoral clean or muddy sand,MNCR 04.05,SS.SMp.SSgr.Zmar,9/26/1988 12:00:00 AM,,1988,,OSMapUnk,Certain match; whole record,JH Allen,1988 UMBSM Loch Ryan survey,The Scar (Loch Ryan),The Scar (Loch Ryan),54.96372508,-5.05378209,Joint Nature Conservation Committee,"View, download and re-use (OGL)",SNHAdditions175,Marine Recorder,JNCCMNCR10000023,023.019.003,JNCCMNCR10103552,46255,System.Byte[],204600.011476603,567500.001490062
